,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
4739,08/14/2000,23:57,"Teslin Lake, British Columbia, Canada",RCMP-GRC Air Services,Teslin - Dease Lake,Cessna 208 Caravan I,C-GMPB,208-00082,2.0,2.0,0.0,"The float plane took off, entered a steep climb, stalled and crashed into the water. The pilot's decision to depart from the unlit location was likely the result of the many psychological and physiological stressors encountered during the day. The pilot most likely experienced spatial disorientation precipitated by local geographiand environmental conditions and lost control of the aircraft.", Canada,Teslin Lake,100.0
4744,09/02/2000,,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,,Douglas C-47,FAC1659,32984,7.0,7.0,0.0,Flew into Mt. Montezuma., Colombia,Mount Montezuma,100.0
4747,09/18/2000,15:10,"Nuiqsut, Alaska",Cape Smythe Air Service,Deadhorse - Nuiqsut,Piper PA-31-350 Navajo,N220CS,8275013,10.0,5.0,0.0,"The belly cargo pod  lightly scraped the runway for about 40 feet, but the airplane transitioned to a climb. As the airplane began climbing away from the runway, the landing gear was observed to extend. The airplane climbed to about 100 to 150 feet above the ground, and then began a descending left turn. The airplane collided with the ground on a 095 degree heading. The wreckage path extended for about 300 feet, during which the landing gear, left wing, and the left engine separated from the airplane. A postcrash fire destroyed the fuselage, right wing, and the right engine. The pilot's failure to extend the landing gear, his improper aborted landing procedure, and inadvertent stall/mush. Factors in the accident were an improper adjustment of the landing gear warning horn system by company maintenance personnel, and the failure of the pilot to utilize the prelanding checklist.", Alaska,Nuiqsut,50.0
4750,10/08/2000,15:20,"Port Radium, Northwest Territories, Canada",Summit Air Charters,Kuglluktuk - Yellowknife,Shorts SC.7 Skyvan 3-100,C-FSDZ,SH-1953,3.0,3.0,0.0,"The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight, the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons, the pilot descended below the elevation of the terrain surrounding the airstrip, resulting in a controlled-flight-into-terrain accident.", Canada,Port Radium,100.0
4764,01/23/2001,21:35,"Eider Point, Alaska",MajestiAir Cargo,,Douglas C-47A-30-DK (DC-3C),N19454,13863,2.0,2.0,0.0,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs. Factors in the accident were dark night conditions, and the first officer's impairment from drugs.", Alaska,Eider Point,100.0
4767,01/31/2001,16:50,"El Yopal, Colombia",Lineas Aereas Suramericanas,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,HK-3932X,201,6.0,3.0,0.0,"While attempting to land at Mitú, the cargo plane's landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final, it struck the ground, crashed in a meadow and caught fire.", Colombia,El Yopal,50.0
4772,03/02/2001,,"Rio Azul Farm, Brazil",Air taxi - Cuiaba Air Taxi,,Beech BE-55,PT-OET,,6.0,6.0,0.0,Just after rising the plane stalled while making a turn and crashed and burned., Brazil,Rio Azul Farm,100.0
4787,05/22/2001,16:35,"Near Myakotino, Russia",Military - Russian Air Force,Rzhevsk - Morsansk,Antonov 12MGA,RA-12135,00347002,7.0,7.0,0.0,Crashed while en route., Russia,Near Myakotino,100.0
4789,07/04/2001,02:08,"Near Irkutsk, Russia",Vladivostokavia,Yekaterinburg - Irkutsk - Vladivostok,Tupolev TU-154M,RA-85845,86A-735,145.0,145.0,0.0,"The plane crashed and exploded in flames in Siberian woodlands near the village of Burdakovka, about 21 miles from Irkutsk. The aircraft crashed during the third turn in a landing approach to Irkutsk, an intermediate stop for refueling. The first officer was flying the plane, when at 2,600 ft., an audible alarm sounded indicating a wide angle of attack. Eleven seconds later the aircraft swung around 180 degrees and entered a flat spin. The captain ordered the engines at full throttle but it was too late and 22 seconds later the plane hit the ground, belly first, broke up and burned. Incorrect actions of the crew. Due to poor communication between pilots, they put in the wrong parameters while landing causing the plane to descend at the wrong angle. As a result, the plane stalled and entered a spin and crashed.", Russia,Near Irkutsk,100.0
4792,07/14/2001,08:53,"Near Moscow, Russia",Russ Air Transport Company,Moscow - Norilsk,Ilyushin IL-76,RA-76588,0043451530,10.0,10.0,0.0,"The cargo plane was taking off from Chkalovsky Airport with a load of construction material and cosmetics. After reaching a height of 150 feet, the plane the crashed and burned 1,600 feet past the end of the runway.  The plane was overloaded by 15 tones.", Russia,Near Moscow,100.0
4793,07/30/2001,16:00,"Haines, Alaska",Air Taxi,"Shagway, AK - Return",Piper PA-32-300,N39586,32-7840168,6.0,6.0,0.0,"The sightseeing plane impacted the side of a mountain in poor visibility. The pilot's continued flight into known adverse weather conditions, and his poor in-flight decision making. Factors associated with the accident were clouds and mountainous terrain. A finding is the pilot's use of FAA prohibited drugs.", Alaska,Haines,100.0
4806,09/15/2001,,"Belo Horizonte, Brazil",TAM (Brazil),Recife  - Sao Paulo,Fokker 100,PT-MRN,11443,82.0,1.0,0.0,"While the aircraft was over Belo Horizonte, the cabin depressurized, causing the death of one passenger. The aircraft made an emergency landing at Cofins. Three of the other 77 passengers aboard suffered minor injuries. Pressurization was lost at an altitude of  33,000 feet when the right engine disintegrated, causing pieces of the engine to break two cabin windows.", Brazil,Belo Horizonte,1.2195121951219512
4809,10/04/2001,13:44,"110 miles SW of Sochi, Russia",Sibir Airlines,"Tel Aviv -  Novosibirsk, Russia",Tupolev Tu-154M,RA-85693,90A-866,78.0,78.0,0.0,"The aircraft exploded in mid-air at 36,000 ft. while  en route over the Black Sea. The plane then nose-dived crashing into the water. The airliner was brought down accidentally by a Ukrainian surface-to-air missile, fired during military exercises.", Russia,110 miles SW of Sochi,100.0
4811,10/08/2001,17:50,"Mollet Lake, Quebec, Canada",Air Saint Maurice Inc.,Iyachisakus Lake - Mollet Lake,de Havilland DHC-2 Mk 1 Beaver,C-GPUO,810,7.0,3.0,0.0,The seaplane crashed into Mollet Lake while attempting to land. The seaplane stalled at an altitude that did not allow the pilot time to recover from the stall. The stall occurred in circumstances conducive to illusions created by drift., Canada,Mollet Lake,42.857142857142854
4812,10/10/2001,09:26,"Dillingham, Alaska",PenAir,Dillingham - King Salmon,Cessna 208 Caravan,N9530F,20800088,10.0,10.0,0.0,"Shortly after taking off from Dillingham, the aircraft's wing dipped, the nose pitched up, the plane became inverted and crashed to the ground. The weather was clear and windy at the time of the accident. An in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane. Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist.", Alaska,Dillingham,100.0
4814,10/11/2001,23:35,"Shamattawa, Canada",Perimeter Airlines,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,C-GYPA,TC-250,3.0,2.0,0.0,"The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around, conditions were present for somatograviillusion, which most likely led to the captain losing situational awareness.", Canada,Shamattawa,66.66666666666666
4815,10/13/2001,18:00,"Near Humiata, Brazil",Air Taxi - Continental Air Taxi,Humiata - Altamira,EMB 810C Seneca,PT-EVF,,6.0,3.0,0.0,Thirty minutes into the flight both engines quit and the pilot had to make an emergency landing in the rainforest., Brazil,Near Humiata,50.0
4816,10/18/2001,15:43,"Anchorage, Alaska",ERA Aviation - Air Taxi,"Fire Island, AK - Anchorage, AK",Bell 206L,N400EH,45108,5.0,3.0,0.0,"The helicopter was flying very low because the pilot was not instrument rated. The skid hit the water followed by the tail rotor and the helicopter crashed. The pilot's failure to maintain clearance from the surface of an open body of water while intentionally attempting to maintain a very low altitude while in cruise flight. Factors include falling snow, low ceilings, whiteout/greyout conditions, and flat/glassy water.", Alaska,Anchorage,60.0
4818,11/19/2001,21:19,"Kalyazin, Russia",Charter - IRS Aero,Khatanga - Moscow,Ilyushin 18V,RA-75840,182005301,27.0,27.0,0.0,Residents heard a loud noise and saw flames in the night sky as the aircraft clipped treetops and summer homes before crashing into a snowy forest. Wreckage was spread over a 1.5 mile area. Serious maintenance violations and operational procedures were discovered during the investigation of the accident., Russia,Kalyazin,100.0
4824,12/01/2001,12:54,"Near Novaya Inya , Russia","Military - Russian, cargo",Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,RA-76839,1023411375,18.0,18.0,0.0,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash., Russia,Near Novaya Inya ,100.0
4828,12/16/2001,10:21,"Near Medellin, Colombia",Heliandes,Medellin - Quibdo,Let 410UVP-E,HK-4175X,861618,16.0,16.0,0.0,"The aircraft crashed into El Silencio de El manzanillo mountain at 7,800 ft., 3 minutes after taking off in heavy rain and poor visibility from Medellin Airport.", Colombia,Near Medellin,100.0
4832,01/04/2002,12:07,"Birmingham, England",Agco Corp,"Birmingham, England - Bangor, MA",Canadair CL-604,N90AG,5414,5.0,5.0,0.0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors.", England,Birmingham,100.0
4840,01/28/2002,11:00,"Near Ipiales, Colombia",TAME,Quito -  Tulcán - Cali,Boeing B-727-134,HC-BLF,19692/498,92.0,92.0,0.0,"The airliner crashed into the fogbound 15,721 ft. Nevado de Cumbal volcano, in the Andes mountains, near the Ecuador / Colombian border. Air trafficontrol lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of Tulcán.", Colombia,Near Ipiales,100.0
4844,02/21/2002,20:44,"Lakhta, Russia",Military - Russian Navy,Sanofov - Lakhta,Antonov AN-26,07RED,ZR726001,20.0,17.0,0.0,"The plane was making an emergency landing after two previous attempts in heavy snow and strong winds when it clipped treetops and crashed into a field, approximately 1.5km short of the runway.", Russia,Lakhta,85.0
4854,04/19/2002,09:15,"Popayán, Colombia",SELVA Colombia,Medellín - Popayán,Antonov AN-32A,HK-4171X,2508,8.0,3.0,0.0,"The plane was being used by the Penitentiary and Prison National Institute, Inpec, to fly prisoners from Medellín to Popayán. The aircraft had just finished flying 50 prisoners to Popayán when it took off from Popayán to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne.", Colombia,Popayán,37.5
4856,04/28/2002,06:15,"Near Abakan, Russia",Private,,Mi-8 helicopter,,,20.0,8.0,0.0,"The helicopter struck power lines and crashed in near-zero visibility. Governor of Krasnoyarsk territory, Alexander Lebed, 52, was among those killed. 'Power line, power line!' were the last words of the pilot. Thick fog concealing a frost-covered power line led to the helicopter crash.", Russia,Near Abakan,40.0
4859,05/07/2002,21:32,"Off Dalian, China",China Northern Airlines,Beijing - Dalian,McDonnell Douglas MD-82,B-2138,49522/17023,112.0,112.0,0.0,"The MD-82 crashed into the Dalian Bay, 12 miles east of Dalian airport. The pilot reported a fire aboard the aircraft and the cabin lights were out prior to the plane impacting the water.  The accident was caused by an act of sabotage by a passenger who lit a fire in the cabin. He had bought multiple insurance policies before boarding the flight.", China,Off Dalian,100.0
4865,06/04/2002,,"Oiapoque, Amapa, Brazil",Marco Zero Air Taxi,,Embraer 721C Sertanejo,PT-EPH,,5.0,5.0,0.0,"The plane tookoff and encountered heavy clouds all along the route.  Wreckage was found 42 miles from Oiapoque, in an Amazon forest. Poor weather conditions.", Brazil,Oiapoque,100.0
4869,07/04/2002,12:30,"San Dimas, California",Private,,Cessna 310,N8145M,310I0145,2.0,2.0,2.0,"The aircraft lost power while taking off from Bracket Airport and crashed into picnickers on the shoreline of Puddingstone Lake in Bonelli Park. The plane was observed in a left bank, traveling approximately 30 feet above and parallel to the shoreline, before impacting two trees in a picniarea. Witnesses reported that they did not hear the engines running. The pilot made 3 consecutive mayday calls during the initial climb-out from runway 26L, however, the pilot did not indicate the nature of the emergency.  Two children on the ground were killed. Fifteen others were injured. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall, and subsequent collision with terrain. A contributing factor was the pilot's impairment from the effects of prescription painkilling drugs.", California,San Dimas,100.0
4871,07/12/2002,11:45,"Port Alsworth, Alaska","Air Taxi - Bigfoot Air of Alaska, LLC","Lake Hood, AK - Iliamna, AK",de Havilland DHC-2,N3129F,903,4.0,4.0,0.0,"The commercial pilot of the float-equipped airplane was transporting passengers to a lodge at a remote lake. When the airplane did not arrive at the lake, a search was initiated, and two days later the wreckage of the airplane was located on the side of a box canyon about the 2,400 foot elevation level. The pilot's failure to maintain clearance from terrain while maneuvering inside a box/blind canyon, resulting in an in-flight collision with terrain. A factor contributing to the accident was the box/blind canyon.", Alaska,Port Alsworth,100.0
4873,07/16/2002,19:45,"Off Cromer, Norfork, England",Bristow Helicopters,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,G-BJVX,760100,11.0,11.0,0.0,"The helicopter was ferrying workers from a gas rig to a oil platform in the North Sea when it crashed into the water at high speed, 28 miles northeast of Cromer. The helicopter was at a height of 320 ft. flying in a south-easterly heading when one of the rotor blades failed.  The accident was caused by a broken rotor blade, caused by fatigue, brought about by a lightning strike three years earlier.", England,Off Cromer,100.0
4876,07/28/2002,15:25,"Moscow, Russia",Pulkovo Aviation Enterprise,Moscow - St. Petersburgh,Iluyshin Il-86,RA-86060,51483203027,16.0,14.0,0.0,"A Russian passenger airliner on a training flight crashed shortly after takeoff from Moscow's Sheremetyevo Airport. After reaching an altitude of about 600 ft., the plane banked hard left, hit the ground and exploded. Sixteen of 18 crewmembers aboard were killed. Two flight attendants survived. Investigation revealed that the stabilizer spontaneously shifted to the full down position two seconds after takeoff. Six seconds after the shift, the captain tried to compensate by thrusting the control stick forward as far as possible, but was unable to regain control of the aircraft.", Russia,Moscow,87.5
4881,08/29/2002,11:58,"Near Ayan, Russia",Vostok Aviakompania,Khabarovsk - Ayan,Antonov AN-28,RA-28932,1A-J008-19,16.0,16.0,0.0,The twin prop plane crashed into a cliff in dense fog as it prepared to land at Ayan. ATC lost contact with the aircraft 12 minutes before it was scheduled to land.  The crew made four attempts to land before disappearing off radar., Russia,Near Ayan,100.0
4883,08/30/2002,18:30,"Rio Branco, Brazil",Rico Taxi Aéreo,Cruzeiro do Sul - Tarauaca - Rio Branco,Embraer 120ER Brasilia,PT-WRQ,120043,31.0,23.0,0.0,The plane crashed about 1 mile short of the runway in heavy rain and strong winds while attempting to land at Rio Branco Airport. Congressman Ildefonso Cordeiro was among the victims., Brazil,Rio Branco,74.19354838709677
4884,09/02/2002,,"Near Xichang, China",CAAC Air TraffiManagement Bureau,Survey,Cessna 650 Citation VI,B-7023,650-0221,3.0,3.0,0.0,"The survey flight to check out the ILS on Runway 36 the plane circled for another approach and collided with a slope of a mountain at an altitude off 2,500 meters which was shrouded in clouds.", China,Near Xichang,100.0
4885,09/04/2002,09:00,"High Prarie, Alberta, Canada",Airco Charters - Air Taxi,"Edmond, Alberta - High Prarie, Alberta",PA-34-220T Seneca III,C-FRKZ,34-8233048,2.0,2.0,0.0,"Crashed into a densly wooded area 7nm from its destination. For undetermined reasons, the aircraft descended below the minimum safe altitude as prescribed on the NDB 25 approach for High Prairie and struck the terrain.", Canada,High Prarie,100.0
4887,09/14/2002,,"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,Guarulhos - Londrina,ATR 42-300,PT-MTS,026,2.0,2.0,0.0,"One hour after the takeoff , the the plane  disappeared of  Curitiba  ATC. The wreckage was found on a farm, around a crater. Unknown cause.", Brazil,Paranapanema,100.0
4888,09/28/2002,11:35,"Near Natashquan, Quebec, Canada",Deraps Aviation,Lake de l'Avion - Agunish River,de Havilland Canada DHC-3 Otter,C-FLGA,279,4.0,3.0,0.0,"The hunting charter crashed inverted in a forest while attempting to land at Agunish River. Because of the geographiand weather conditions, the pilot probably had trouble judging his horizontal and vertical distance with respect to the mountain, and the aircraft crashed.", Canada,Near Natashquan,75.0
4889,10/01/2002,,"Vasco, India",Military - Indian Navy,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,IN302 / IN304,IL38002/IL38004,12.0,12.0,5.0,"The two Navy aircraft flying in formation in a military flyby, crashed, after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground.", India,Vasco,100.0
4890,10/07/2002,09:10,"Santa Cruz do Sul, Brazil",American Virginia,,Learjet 60,N5027Q,60-242,5.0,1.0,0.0,"The crew was not able to stop the plane on the rain-slick runway, overran the runway and collided with an obstacle.", Brazil,Santa Cruz do Sul,20.0
4905,12/26/2002,11:20,"Curitiba, Brazil",Military - Brazilian Air Force,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,FAB-2292,174,16.0,3.0,0.0,The plane diverted from it's original route to make an emergency landing at Curitiba after experiencing engine trouble and crashed 3.5km short of the runway., Brazil,Curitiba,18.75
4918,03/01/2003,14:25,"Near Barki, Russia",Private - Kabanov - skydiving,Skydiving,Let L-410UVP,FLARF-01032,831109,25.0,11.0,0.0,"While carrying a group of parachute jumpers, the aircraft began to disintegrate in mid-air while flying at an altitude of about 10,000 ft. The tail and left wing separated from the plane before it crashed into an area of deep snow. Many of the skydivers were able to jump out of the plane to safely before it crashed.", Russia,Near Barki,44.0
4924,05/28/2003,13:30,"Talkeetna, Alaska",McKinley Air Service - Air Taxi,,Cessna 185,N70176,18502037,4.0,4.0,0.0,"The airplane was destroyed during a collision with snow-covered glacial terrain following a loss of control during cruise flight, about 40 miles north-northwest of Talkeetna, Alaska. The airplane was being operated as a visual flight rules. The pilot's failure to maintain adequate airspeed which resulted in an inadvertent stall, an uncontrolled descent and in-flight collision with terrain. A factor associated with the accident was rising terrain", Alaska,Talkeetna,100.0
4928,06/11/2003,,"Belo Horizonte, Brazil",Astro Air Taxi,,Embraer 820C Navajo,PT-EHH,,4.0,4.0,0.0,"After takeoff, the pilot reported low pressure of oil  in an engine and  decided to return to the airport. The plane made a 270 degree turn in the final approach, stalled  and crashed to the ground.", Brazil,Belo Horizonte,100.0
4930,06/22/2003,23:55,"Near Brest, France",Brit Air,Nantes - Brest,Canadair CRJ-100ER,F-GRJS,7377,24.0,1.0,0.0,"The aircraft crashed onto a road and caught fire 1 km from Brest-Guipavas Airport in France's Brittany region, killing the pilot and injuring three others. There were thunderstorms in the area with 800 meters visibility at the time the accident took place.", France,Near Brest,4.166666666666666
4932,06/25/2003,15:50,"Anchor Point, Alaska",Hallo Bay Air - Air Taxi,"Hallo Bay, AK - Homer, AK",Cessna 180H,N91303,18052039,3.0,3.0,0.0,"The airlpane is presumed to have collided with the ocean waters of the Cook Inlet, about 7 miles southwest of Anchor Point, Alaska. No wreckage has been located, and the airplane is presumed to be destroyed. A fatally injured passenger was located on July 3, in ocean waters near Anchor Point. An in-flight collision with water for an undetermined reason.", Alaska,Anchor Point,100.0
4935,07/01/2003,19:57,"Belem, Para, Brazil",Heringer Air Taxi,,Mitsubishi MU 2B 35,PT-LFX,,4.0,4.0,0.0,The plane crashed on final approach to Belem Airport during a strong  thunderstorm., Brazil,Belem,100.0
4936,07/05/2003,11:30,"Macaé, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,,Sikorsky  S 76 A,PT-YVM,,5.0,5.0,0.0,"The helicopter  was landing on the helideck of the ship Toisa Mariner, when the tail rotor collided with the flagpole on the ship. The pilot lost the control and the helicopter crashed into the  sea.", Brazil,Macaé,100.0
4944,08/20/2003,13:05,"Kamchatka Peninsula, Russia",Khalatyrka,Kamchatka - Kuril Islands,Mi-8 helicopter,,,20.0,20.0,0.0,"The helicopter was flying at a 13-meter height when the pilot pulled up its nose in an attempt to avoid a close obstacle. The maneuver caused the helicopter's rotor blades to swing back, slicing its tail, causing the crash. Sakhalin Governor, Igor Farkhutdinov, was among the casualties.", Russia,Kamchatka Peninsula,100.0
4947,09/11/2003,20:30,"Near Summer Beaver, Canada",Wasaya Airways,Pickle Lake - Summer Beaver,Cessna 208B Grand Caravan,C-FKAB,208B-0305,8.0,8.0,0.0,The aircraft crashed ten kilometers northwest of Summer Beaver one hour after leaving Pickle Lake Airport. Thunderstorm activity was reported along the route., Canada,Near Summer Beaver,100.0
4951,09/27/2003,18:57,"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,C-FARL,31306,3.0,3.0,0.0,"Cashed as it approached Gaspé in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain).", Canada,Gaspé,100.0
4963,12/16/2003,12:00,"Jellicoe, Ontario, Canada",Huron Air,,de Havilland DHC-3 Otter,C-GOFF,065,3.0,2.0,0.0,Crashed into Blackwater Lake shortly after taking off from a remote landing strip., Canada,Jellicoe,66.66666666666666
4964,12/18/2003,22:00,"Mitu, Colombia",Líneas Aéreas Suramericanas,El Yopal - Mitu,Douglas DC-9-15F,HK-4246X,47062,3.0,3.0,0.0,"While on approach to , the cargo plane obtained the authorization to descend from 23,000 to 7,000 ft. but  disappeared from radar screen when it struck a mountain. Wreckage was found 5 days later.", Colombia,Mitu,100.0
4965,12/23/2003,09:13,"Helendale, California",Pavair,"Chino,CA - Sun Valley, ID",Gates Learjet 24B,N600XJ,24B-190,2.0,2.0,0.0,"While en route and cruising at 24,000 ft. the crew of the cargo plane declared an emergency and tried to return to Chino Airport but the aircraft suddenly nose dived and crashed into the Mojave Desert. A loss of airplane control for undetermined reasons.", California,Helendale,100.0
4969,01/17/2004,16:40,"Lake Erie, off Pelee Island, Ontario, Canada",Georgia Express,"Pelee Island, Ontario - Windsor, Ontario",Cessna 208B Grand Caravan,C-FAGA,208B-0658,10.0,10.0,0.0,"he pilot reported having trouble shortly after taking off from Pelee Island. The single engine plane crashed into Lake Erie one third of a mile west of Pelee Island in snow showers and freezing rain. The plane was overloaded by 1,270 lbs. In addition, the Cessna's surfaces were laden with ice.", Canada,Lake Erie,100.0
4976,03/10/2004,20:42,"San Diego-Miramar NAS, California",Military - United States Marine Corps,Training,Cessna UC-35D Citation Encore,165938,560-0567,4.0,4.0,0.0,"On final approach at night, the aircraft crashed near Interstate 15, half- a-mile short of the runway.", California,San Diego-Miramar NAS,100.0
4983,05/05/2004,13:00,"Carepa, Colombia",Aerotransportes Petroleros,Bogota - Carepa,Swearingen SA227AC Metro III,HK-4275,AC-676,7.0,3.0,0.0,While on approach the plane hit the ground 300 ft. short of the runway., Colombia,Carepa,42.857142857142854
4986,05/14/2004,18:30,"Near Manaus, Brazil",Rico Linhas Aereas,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,PT-WRO,120070,33.0,33.0,0.0,"The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage.", Brazil,Near Manaus,100.0
4988,05/18/2004,10:50,"Urumqi, China",AZAL Cargo Company,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,4K-AZ27,0053460827,7.0,7.0,0.0,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport.", China,Urumqi,100.0
4992,06/11/2004,,"Belo Horizonte, Brazil",Air taxi - Aero Air Taxi,Belo Horizxonte - Juiz de For a,EMB 820C Navajo,PT-EHH,,4.0,4.0,0.0,After taking off and climbing the crew noticed oil  low pressure reading and decided to return to Belo Horizonte. After completing a turn the aircraft entered a dive and crashed and burned., Brazil,Belo Horizonte,100.0
4996,07/22/2004,08:30,"Off  Macaé , Rio de Janeiro , Brazil",BHS - Brazilian Helicopter Service  Air Taxi,"Campos, Brazil  -  Off-shore oil rig",Sikorsky S 76,PP-MYM,,11.0,6.0,0.0,"During the approach to P-31 oil rig, at an altitude of 500 ft, an alarm sounded for the left turbine after which there was a loud noise. Then the main rotor and right turbine lost rotation and the helicopter crashed in the sea.", Brazil,Off  Macaé ,54.54545454545454
5002,08/24/2004,22:59,"Near Rostov-on-Don, Russia",Sibir Airlines,Moscow - Sochi,Tupolev 154B-2,RA-85556,82A-556,46.0,46.0,0.0,The plane crashed 19 minutes after taking off from Moscow. It crashed almost simultaneously with a Volga-Avia Express Tupolov134 which crashed at 22:56. Detonation of an exposive device aboard., Russia,Near Rostov-on-Don,100.0
5003,08/24/2004,22:56,"Near Toula, Russia",Volga-Avia Express,Moscow - Volograd,Tupolev 134A-3,RA-65080,60065,41.0,41.0,0.0,The plane crashed 26 minutes after taking off from Moscow. Witnesses stated they saw the plane explode in midair before crashing. It crashed almost simultaneously with a Sibir Tupolov154 which crashed at 22:59. Detonation of an exposive device aboard., Russia,Near Toula,100.0
5004,08/27/2004,16:30,"Near MGrath, Alaska",Mavrik Aire Transport,Kenai - McGrath - Kotzebue,de Havilland DHC-3 Otter,N197TT,197,3.0,1.0,0.0,"Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist.", Alaska,Near MGrath,33.33333333333333
5012,10/14/2004,03:56,"Halifax, Nova Scotia, Canada",MK Airlines,"Windsor Locks - Halifax - Zaragoza, Spain",Boeing 747-244B-SF,9G-MKJ,22170,7.0,7.0,0.0,"The cargo plane did not gain altitude and ran off the end of the runway and crashed into a forest. The aircraft's lower aft fuselage struck a berm supporting a localizer antenna, resulting in the tail separating from the aircraft, rendering the aircraft uncontrollable. The incorrect V speeds and thrust setting were too low to enable the aircraft to take off safely for the actual weight of the aircraft. The pilots of MKA1602 did not carry out the gross error check in accordance with the company's standard operating procedures (SOPs), and the incorrect take-off performance data were not detected. Crew fatigue.", Canada,Halifax,100.0
5013,10/15/2004,07:46,"Near Medellin, Colombia",Aerovanguardia,Villavicencio - Medellin,Douglas DC-3C,HK-1503,34331,3.0,3.0,0.0,"During descent in poor weather, the cargo plane struck a mountain near the airport.", Colombia,Near Medellin,100.0
5017,10/24/2004,00:30,"San Diego, California",Med Flight Air Ambulance - Private,"San Diego, CA - Albuquerque, NM",Learjet 35A,N30DK,35A-345,5.0,5.0,0.0,"Two minutes after taking off, the air ambulance crashed into Otay peak,  in an isolated area of mountains, 8 miles east of Brown Field Municipal Airport. Dark night visual conditions prevailed. The controller's Minimum Safe Altitude Warning System issued and alert during the last two radar returns. The air trafficontroller failed to alert the crew to altitude warnings as the plane was on track to fly into a mountain. The controller identified the airplane on the radar screen and instructed crew members to expect clearance above 5,000 feet, but then issued a heading that resulted in a flight track directly into the mountains. The mountain is at 3,556 feet altitude. Also, the flight crew did not follow the recommended departure procedures for taking off at night and in mountainous terrain. Failure of the flightcrew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain, and the air trafficontroller's issuance of a clearance that transferred the responsibility for terrain clearance from the fllightcrew to the controller. The controller's failure to provide terrain clearance instructions to the flightcrew, and failure to advise the flightcrew of minimum safe altitude warning alerts. Contributing to the accident was the pilots' fatigue which likely contributed to their degraded decision making.", California,San Diego,100.0
